label,path,std,kurt,r_acf1,abs_acf1,sq_acf1,r_acf2,abs_acf2,sq_acf2,r_acf3,abs_acf3,sq_acf3,r_acf5,abs_acf5,sq_acf5,r_acf10,abs_acf10,sq_acf10,r_acf20,abs_acf20,sq_acf20,r_acf60,abs_acf60,sq_acf60,lev_dec1_1d,lev_dec10_1d,lev_dec1_3d,lev_dec10_3d,lev_dec1_5d,lev_dec10_5d,lev_dec1_7d,lev_dec10_7d,lev_dec1_10d,lev_dec10_10d,lev_dec1_20d,lev_dec10_20d,issue_score,abs_acf_maxerr,sq_acf_maxerr,dec10_maxerr
R12_tiny_rebal_active_seed_1,graph_ssm_abm/R_base7_variant_R_acf_control/results_gpu_round4/R12_tiny_rebal_active/seed_1/generated_paths.csv,0.006403999603232792,35.341856772059025,0.03214597493693081,0.11966521295798052,0.07069143121049673,-0.07506908592673572,0.036028002384271986,0.003430135214900955,-0.02196691224407332,0.022188674272002874,0.009190863029501608,-0.013112120307276725,-0.0006376536842573432,-0.003337722978466331,-0.005887207044870698,0.021308445936565314,0.03216244209884408,-0.0027571548981091556,0.009681877004300427,-0.00029685620709992414,0.00865045982343116,0.008649688553321567,0.0024540663943864883,-0.026877945113431168,-0.22228877304859265,-0.05076173288114822,-0.19097309691556047,-0.07277463272459105,-0.1735639234402435,-0.0717939056214622,-0.15082572164374222,-0.07670175091021002,-0.12947988053016593,-0.08157105670017674,-0.09922067471190509,0.6130480565658822,0.2896318371420669,0.2695154979508334,0.0749029615703252
R03_more_tail_seed_2,graph_ssm_abm/R_base7_variant_R_acf_control/results_gpu_round1/R03_more_tail/seed_2/generated_paths.csv,0.01257281814416007,5.895315941181292,0.008090555793606652,0.425818958718562,0.3443738369371146,-0.01469609278529147,0.38703582719293517,0.30992016645852344,-0.02295997867929705,0.3645597713924271,0.2945666824414108,-0.01988415166233999,0.3283685768411608,0.23781424576758428,-0.0025384535651690595,0.3091810487584025,0.21113922081491796,0.0016001713733880575,0.297136698546317,0.19669737344987004,-0.007524679965108193,0.30608368772816724,0.20487640858091952,0.008771401325261757,-0.24250453758287457,0.009058182354704526,-0.2990075116117649,0.0022392883783255747,-0.25516817561021854,0.013450146013604489,-0.20653427101817096,0.015831683576709277,-0.1548248705343475,0.03846607746170822,-0.07016278244903874,0.6404056785875861,0.2053026192654836,0.1729155613946811,0.0963940373517673
R10_rebalance010_seed_1,graph_ssm_abm/R_base7_variant_R_acf_control/results_gpu_round3/R10_rebalance010/seed_1/generated_paths.csv,0.005410163696792182,46.58382410606378,-0.026710844524294126,0.07108316444638255,0.02871747267980072,-0.07191350404279431,0.02923872584314065,0.0022078906959726516,-0.010803455655347632,0.012740398323032835,-0.00029907786198547103,-0.010454179608180634,0.002798454625933937,-0.0009424897043358513,0.004593710515077917,-7.989515650172875e-05,-0.0024986633618655305,-0.010903141589711144,0.0026071838625334126,-0.002065544380961729,0.010352308608736153,-0.004999186153937636,-0.0024404594247388845,-0.01258960381583492,-0.10322631582621083,-0.0001751517372539587,-0.13893280486062756,0.00573796887823958,-0.13876837807917353,-0.0006651331298098828,-0.1363940769735727,-0.002595671759641462,-0.1279772001352215,0.0007615781361603099,-0.08142285744912542,0.6431913766992811,0.28619572883187566,0.2707377424697617,0.07885026316321564
R09_rebalance005_seed_2,graph_ssm_abm/R_base7_variant_R_acf_control/results_gpu_round3/R09_rebalance005/seed_2/generated_paths.csv,0.005967924952275927,22.840849892676914,-0.011453467907158508,0.08729308100819269,0.02206715972090564,-0.03745060822567346,0.05938378176236731,0.014100133232433879,-0.025199442135823757,0.030434806958609135,0.003939117040292008,-0.011802865547143314,0.02708076695903075,-0.0020297508873557816,0.004380483773391103,0.019555587642286994,0.0026150663272436247,0.00892043558642648,0.03420466500481786,0.012749801112671351,0.01851282102342248,0.019193789720735602,0.0008706710183139321,-0.010054078482320027,-0.18228061996047917,0.03782517446377486,-0.2682050283524912,0.059701843331660925,-0.2571415439785331,0.043455667778695535,-0.23509695043392875,0.028040691017835274,-0.21139441394804223,0.024442279975908227,-0.15155627511151504,0.6546936786451243,0.26191341649877886,0.25884549993330047,0.06559155409249359
R09_rebalance005_seed_1,graph_ssm_abm/R_base7_variant_R_acf_control/results_gpu_round3/R09_rebalance005/seed_1/generated_paths.csv,0.005389950737307784,47.6139943650963,-0.018005796307374512,0.07191589481911019,0.02941055892477105,-0.06799586604790149,0.027873439606711105,0.0020767565702054284,-0.010128832453553576,0.011938587301630221,-0.00022423144636977334,-0.010658872619715435,0.00252954183059123,-0.0009719107851303085,0.0036423058065948206,0.0009619052772537959,-0.0022570972172009404,-0.011230783807746735,0.0013845227458929752,-0.002269320639610296,0.010202628204032243,-0.005027713077562923,-0.0022762276340765994,-0.02103191380500603,-0.09899010778056438,0.0009714296693091318,-0.13074264784598977,0.015239935115033208,-0.13183894647548308,0.011839356845580153,-0.13306989423161156,0.00909593651776503,-0.12393051334300301,0.0028230493597984057,-0.07687361736906423,0.6643111045661804,0.28646464162721835,0.2708688765955289,0.08339950324327683
R03_more_tail_seed_1,graph_ssm_abm/R_base7_variant_R_acf_control/results_gpu_round1/R03_more_tail/seed_1/generated_paths.csv,0.005507903429855895,55.355142958621784,-0.026035594985704843,0.05777616825517317,0.01484450627959454,-0.04790130785557212,0.016308839237239945,-0.00024320588500984267,-0.009913229758212447,0.01816038999916594,0.0005488851088192307,-0.005280236391410609,0.0012190916465082782,0.0007517930095810291,-0.003657720144184022,-0.002853887424001593,-0.003361447634629675,-0.014073922137287299,-0.006103709403876191,-0.004223828259480585,0.0047251119312152765,-0.002457355044960248,-0.0016810403849174527,-0.012015794579022042,-0.04312603467856516,-0.03135651217517571,-0.11901047002383186,-0.015386462206929834,-0.10793826880230094,-0.014504654759243691,-0.09409111407759235,-0.003456252787620756,-0.09327121911604506,-0.005585962835862498,-0.06011142742713792,0.689627357036438,0.2877750918113013,0.2731888390507442,0.1042597767997023
R07_more_activity_seed_1,graph_ssm_abm/R_base7_variant_R_acf_control/results_gpu_round2/R07_more_activity/seed_1/generated_paths.csv,0.006211096975385781,27.68374442684174,0.010488327110202636,0.11207937006033636,0.05775033599152712,-0.0776300965871921,0.04613274374730052,0.005489323550621703,-0.029167389492406395,0.045202603293465135,0.009973838112584761,-0.009411050636236942,0.014284618958917977,0.003503301543546812,-0.002463162144616639,0.0074032744761870165,-0.0006611967045386299,-0.014302774701339883,0.0015241438372454233,-0.0025210712429065535,0.004606172531728062,-0.002021757224065641,-0.0017587554980357824,0.01434784333061283,-0.2017953010868106,0.02381069717807533,-0.2588989656902731,0.03820480842524875,-0.25041550373961613,0.045803510287647745,-0.233008701042048,0.0366133714484908,-0.19162645068510625,0.041900826133126956,-0.13148311701028806,0.7032059476696262,0.2747095644988916,0.26745630961511263,0.056285491430275475
R04_more_leverage_seed_2,graph_ssm_abm/R_base7_variant_R_acf_control/results_gpu_round1/R04_more_leverage/seed_2/generated_paths.csv,0.012391217628224706,5.508238744584209,0.03269043990363481,0.447255499543649,0.39389084713200506,-0.01487561681701142,0.411993619745649,0.35494820728815907,-0.02660502957508387,0.39340801457796387,0.33937625133267807,-0.028740205434520914,0.36138592351237053,0.2867047485859558,-0.006219748032611372,0.33351785960737695,0.24508927492403926,-0.00485030565213841,0.31272519217849926,0.21394083570054806,-0.013879435714832852,0.3253084495964727,0.22450917634219203,-0.012499790445464752,-0.23318504873573895,0.0003720219878190059,-0.2935584925623561,0.00797663627109784,-0.2754393056375046,0.0038149883972864143,-0.22827231444457818,0.0036121842490592507,-0.1691778150840097,0.010423627212707029,-0.05833560112929786,0.7039303803229564,0.22452738113378906,0.1925483291559536,0.10193751948304319
R08_tail_lev_seed_1,graph_ssm_abm/R_base7_variant_R_acf_control/results_gpu_round2/R08_tail_lev/seed_1/generated_paths.csv,0.006681356593146653,39.974197696899424,0.08499427453532314,0.14960023461195648,0.08636306349275293,-0.0738335557457631,0.047478734118529584,0.004208834541124303,-0.03774396620531468,0.028308624159980467,0.0028467169010221805,-0.013482925143044477,0.012243949368024006,0.0026256504950694284,-0.00589760064365025,0.010299873831852928,0.02039706058062479,-0.004226145886637289,0.004488198253329651,-0.0038387396439196527,0.014575964348663479,0.008375464186712934,0.01584133119971179,-0.01222889318954285,-0.3882043601129912,-0.04449864973166326,-0.32819145168692043,-0.04713214537082786,-0.2920203945282112,-0.02701489175964309,-0.25736111102939996,-0.013981481355689874,-0.21934299919779274,0.022072095651013805,-0.15118150070458344,0.7041512980656025,0.27675023408978555,0.26873679862461003,0.24081854863472374
R06_short_memory_lev_seed_2,graph_ssm_abm/R_base7_variant_R_acf_control/results_gpu_round2/R06_short_memory_lev/seed_2/generated_paths.csv,0.01898434510905774,4.626655186594188,0.1166085688835813,0.4872953150480418,0.45836764555796483,0.020902347086716764,0.4720630308739719,0.44305947259816947,-0.0012811343103050809,0.43905366321816486,0.395232563615859,-0.005150540586901041,0.3978603935279831,0.3286551036133356,0.014663721520497268,0.3397150744008997,0.23884231220210525,-0.015434707765283029,0.3096552968689325,0.20308890626692697,-0.011075700957871805,0.31541231328539804,0.21165555548348675,-0.015172220714827189,-0.24521804417688772,-0.00590052601237138,-0.34080393458395347,-0.017030827636994553,-0.32201504409270604,-0.004678322108428214,-0.28874980242576076,-0.0024030529089834906,-0.22835808085100734,-0.017333435886314263,-0.08205380114590514,0.7809399788038573,0.22585974098630368,0.22854753761015711,0.13819046032395585
R04_more_leverage_seed_1,graph_ssm_abm/R_base7_variant_R_acf_control/results_gpu_round1/R04_more_leverage/seed_1/generated_paths.csv,0.004875552999999473,37.742462713529626,-0.021108414121219415,0.07168969156033628,0.02213264827746618,-0.0509963168735691,0.0375919618571652,0.0029424055212262743,-0.004062028318014799,0.022458488800894457,0.0003655070165041281,-0.00028625753854025015,0.011866238245902664,0.002481772782360547,0.003940144632263011,-0.010566994127925992,-0.005638403717448496,-0.0068677127219039956,0.0048866565026929746,-0.0012021798674152916,0.0003209678409619305,-0.005103372878126972,-0.0029445334385058523,0.032805245740563926,-0.049379411311929716,0.038505409580532585,-0.12301504777866244,0.02889843917665894,-0.1006557497451094,0.03234406781281484,-0.07951394650319872,0.026106374121913547,-0.07092720556240464,-0.011252722539836035,-0.03737076515652535,0.8033790811635406,0.2771279452119069,0.27000322764450807,0.12290235545581571
R01_no_mom_lowvol_seed_1,graph_ssm_abm/R_base7_variant_R_acf_control/results_gpu_round1/R01_no_mom_lowvol/seed_1/generated_paths.csv,0.004841180677907291,38.75449442567089,-0.041890410994311914,0.06596985192301875,0.018247355915370793,-0.03974872399526676,0.030416028158712985,0.0008902415536454572,0.0009065859663374079,0.017643060465462327,-0.00017726143392356357,0.0016745009348303193,0.008630942713584836,0.002174793081855701,0.003633389763240334,-0.011226554739211398,-0.00537062745141219,-0.007991637809423826,0.0045469311066553,-0.0008979122257036803,0.00111255946769312,-0.006256556683603209,-0.003199816098071185,0.02054116650529089,-0.030026509011203063,0.042900066666402344,-0.09632779272793489,0.014541332848629268,-0.0783109517515045,0.034133869819459234,-0.05996132707890532,0.010738381916165203,-0.05478233228893733,-0.0406392031202915,-0.021862104661332444,0.8236748236102269,0.28036324074422475,0.27205539161208886,0.1384110159510086
R02_mom005_seed_1,graph_ssm_abm/R_base7_variant_R_acf_control/results_gpu_round1/R02_mom005/seed_1/generated_paths.csv,0.004848074109387262,38.566179544313755,-0.038810275023354886,0.06696057715262524,0.018737466977781756,-0.04206719287149809,0.03040287822091655,0.0010900610999060134,2.2429653291452874e-05,0.017628208186208125,-0.000285882258244462,0.0013864228792981512,0.009247120957033462,0.0023575113489116947,0.0038085855672128025,-0.011536470139867257,-0.005473874840307874,-0.00792515565005502,0.004820627604185546,-0.0009079453227302648,0.0009878484395390431,-0.006549310567447695,-0.0032104593949201857,0.029921117174512634,-0.03155892548500724,0.0777374797289324,-0.09800498661250534,0.048349104051298906,-0.076760965172914,0.05068829789416343,-0.06339874953954709,0.030551799455253492,-0.05849959135651231,-0.03297224954697551,-0.024095070677662683,0.8758165127537776,0.27974706250077613,0.27185557206582833,0.13617804993467839
R08_tail_lev_seed_2,graph_ssm_abm/R_base7_variant_R_acf_control/results_gpu_round2/R08_tail_lev/seed_2/generated_paths.csv,0.018296005139176955,5.006989860986327,0.11233799525670325,0.5120144187675862,0.4891265134943265,0.004450954866397712,0.47682087849797583,0.4463501417244853,-0.0030035493408484886,0.4462371467781259,0.40675571380433023,0.005245383718113248,0.39758255794089875,0.34635113963458297,0.013467310948534197,0.3448697630489983,0.25533711042715773,-0.016845129523664175,0.32180807365380043,0.2135596715838204,-0.02624348323721803,0.3102350531134088,0.20752506479138078,0.005092507978775094,-0.26011225181020475,0.0374927341308131,-0.31257160341795903,0.0441442538741057,-0.27721691322187497,0.027782695063224103,-0.24102354244194524,0.032123604829372224,-0.17964003791015967,0.04652831159576222,-0.0429611442452808,0.892352494194132,0.2505788447058481,0.2593064055465188,0.11731197636706026
R05_short_memory_vol_seed_2,graph_ssm_abm/R_base7_variant_R_acf_control/results_gpu_round2/R05_short_memory_vol/seed_2/generated_paths.csv,0.018485551822307947,4.958345512764004,0.04990307024530449,0.5508283583519437,0.5632318000325748,-0.0026227822877234186,0.52521021675,0.522394472929402,-0.029173450889856758,0.48940026785617285,0.47225678520405734,-0.007557330024913791,0.4579830077420737,0.4174852414976373,0.0047032722062636916,0.39721162300324797,0.31615231510396485,-0.0019386490335461363,0.3838279134440737,0.2901085663927895,-0.02183473790038614,0.3797390194159332,0.290920304732614,-0.008490970928719721,-0.24312758332161785,-0.026604756503363868,-0.3210809874710615,-0.040241283413056925,-0.2872769846359662,-0.039906870744854044,-0.24985421950990433,-0.02772978557397138,-0.1967638947353915,0.001566274024470702,-0.07217379632542256,0.916317604552807,0.28939278429020554,0.33341169208476706,0.11846751321106389
R07_more_activity_seed_2,graph_ssm_abm/R_base7_variant_R_acf_control/results_gpu_round2/R07_more_activity/seed_2/generated_paths.csv,0.023757037880672276,3.6233332334229535,0.08044602473140677,0.6020556459474584,0.5859235380769559,0.024634178473308028,0.571436557979303,0.5429699383664591,-0.00326711418356317,0.5434647635375077,0.5016735648719283,0.009375579838166854,0.5024606081552094,0.42912527498110487,0.016732739255910376,0.430858889157516,0.3038569207083432,-0.009527057286902361,0.38663342884336827,0.23244441884472225,-0.018267288952347725,0.3879770845205592,0.23919025934690838,-0.0672564383857329,-0.3064346190416944,-0.09411678049949423,-0.414245730974753,-0.10712492309389096,-0.4057286306539557,-0.09124157039131604,-0.38228611760256953,-0.09082421992349186,-0.32751339173011784,-0.08742311330045037,-0.18271504400300173,1.198523340363559,0.3406200718857203,0.35610343012914814,0.21163225671475536
