day,firm_id,sector,latent_state,observation,price,return,market_weight,buy_value,sell_value,imbalance,firm_uncertainty,obs_var_factor
0,16,0,-0.01672524461018495,0.048590087749315065,9419.391332085537,0.03294452211418505,0.004649110419523021,0.48247089258432746,40.887420711682694,-0.9766752643353362,0.055049625427374675,1.0660595505128496
0,17,0,-0.015652383436305182,-0.07994303031169056,7497.1179065647575,-0.007120181513367449,0.033380369004562344,0.7675587407052213,78.04485742240203,-0.9805218827549462,0.1936463116388937,1.2323755739666724
0,18,2,-0.03932195737749983,-0.024825188076712502,9198.047157583123,-0.0008344337303624137,0.008792486014950055,0.42215509476315793,83.77814818820896,-0.9899725991760527,0.032128849939228384,1.038554619927074
0,19,0,0.001653611012097031,0.09082598841287202,6360.392920892341,0.006166321634746713,0.004046766716830373,1.074775389542542,36.982981219378416,-0.9435187207139598,0.09174390458966498,1.1100926855075979
0,20,7,-0.020654130411201087,0.03611996994426977,8085.915541751492,-0.0018889704925238822,0.00764022457522566,0.3642178077435305,45.76899827124528,-0.9842101704935541,0.04773217097737027,1.0572786051728442
0,21,7,0.012921709152183446,0.0015373623657906372,7731.281469623065,-0.0008005901922604752,0.002508159609597969,0.651251174690749,41.30348385040145,-0.9689545804646018,0.15208172095147773,1.1824980651417734
0,22,1,0.02471313150059861,0.08492693364723736,7469.097678678145,0.0019889363115578188,0.0036948873382037905,1.1159031893212898,42.667358450166105,-0.9490260365258223,0.050741903193579616,1.0608902838322956
0,23,2,0.06540734064046275,0.010531274277202449,7706.766558445357,0.02061165179318094,0.003721418919421426,0.6020968443958193,45.279687396761126,-0.9737544276082185,0.14756349684648015,1.177076196215776
0,24,5,-0.033463506287172214,-0.04013084703564074,8212.775108269025,0.014123257235769963,0.00964006126143476,0.6900247392288626,72.9534958038637,-0.9812604086651255,0.04020975065785284,1.0482517007894234
0,25,5,-0.04029985368162518,-0.12321683112057707,7262.927244916035,-0.0018682040375029981,0.013750310260133153,0.9448712384666889,220.41800299110113,-0.9914631462728253,0.12588890875293382,1.1510666905035205
0,26,4,0.04843219912723831,-0.023141526469333644,7924.861415658809,0.026268587300212986,0.006967992398963051,0.760898994222097,119.3225186764026,-0.9873271595783053,0.1644848077893497,1.1973817693472197
0,27,7,0.023260136863519326,-0.0076170326674637155,7831.355205758697,0.01242245037909536,0.009407439896506923,0.6208924840891096,43.24772859060354,-0.9716930931784795,0.06038551263236245,1.072462615158835
0,28,5,0.04616302401608166,0.035534890350290206,6326.5054602366545,-0.0020806233709169874,0.005482441090909319,0.4788897235565895,36.7693189769362,-0.9742865635287639,0.10642105635780681,1.1277052676293682
0,29,5,-0.024026761415896155,-0.04650875796578598,6933.805246473875,-0.003751108620103533,0.007173306345615591,0.8268600377062868,72.40861762385181,-0.9774191398869234,0.14406342087876445,1.1728761050545173
0,30,4,-0.030022149596502963,0.009141801474330843,7588.641618180738,-0.00300267884540202,0.07431799490807231,0.5102331700157829,51.91257126781083,-0.9805339231283904,0.02775429281975402,1.0333051513837048
0,31,4,-0.03189525946682736,-0.06274427391574969,7464.962229714691,0.0058826485144589085,0.0063648706082123155,0.7032285966879462,114.75759290004842,-0.9878187494586337,0.11672473672491242,1.140069684069895
